	E.CON	NEG.CON	NEG.CON2	ExN.Nereotest.ExN.1	ExN.Nereotest.ExN.2	ExN.Nereotest.ExN.3	ExN.Nereotest.ExN.4	ExN.Nereotest.ExN.5	ExN.Nereotest.Nereo.1	ExN.Nereotest.Nereo.2	ExN.Nereotest.Nereo.3	ExN.Nereotest.Nereo.4	ExN.Nereotest.Nereo.5	ExN.Nereotest.Mast.1	ExN.Nereotest.Mast.2	ExN.Nereotest.Mast.3	ExN.Nereotest.Mast.4	ExN.Nereotest.Mast.5	ExN.Nereotest.NereoMast.1	ExN.Nereotest.NereoMast.2	ExN.Nereotest.NereoMast.3	ExN.Nereotest.NereoMast.4	ExN.Nereotest.NereoMast.5	Nereo.Loneincube.Nereo.1	Nereo.Loneincube.Nereo.2	Nereo.Loneincube.Nereo.3	Nereo.Loneincube.Nereo.4	Nereo.Loneincube.Nereo.5	Mast.Loneincube.Mast.1	Mast.Loneincube.Mast.2	Mast.Loneincube.Mast.3	Mast.Loneincube.Mast.4	Mast.Loneincube.Mast.5	Water.Nereotest.H2O.1	Water.Nereotest.H2O.2	Water.Nereotest.H2O.3	Water.Nereotest.H2O.4	Water.Nereotest.H2O.5	Water.Nereotest.ExN.1	Water.Nereotest.ExN.2	Water.Nereotest.ExN.3	Water.Nereotest.ExN.4	Water.Nereotest.ExN.5	Water.Nereotest.Nereo.1	Water.Nereotest.Nereo.2	Water.Nereotest.Nereo.3	Water.Nereotest.Nereo.4	Water.Nereotest.Nereo.5	Water.Nereotest.Mast.1	Water.Nereotest.Mast.2	Water.Nereotest.Mast.3	Water.Nereotest.Mast.4	Water.Nereotest.Mast.5	Water.Nereotest.NereoMast.1	Water.Nereotest.NereoMast.2	Water.Nereotest.NereoMast.3	Water.Nereotest.NereoMast.4	Water.Nereotest.NereoMast.5	YoungNereo.Environmental.Brockton.1	YoungNereo.Environmental.Brockton.2	YoungNereo.Environmental.Brockton.3	YoungNereo.Environmental.Brockton.4	YoungNereo.Environmental.Brockton.5	OldNereo.Environmental.Brockton.1	OldNereo.Environmental.Brockton.2	OldNereo.Environmental.Brockton.3	OldNereo.Environmental.Brockton.4	OldNereo.Environmental.Brockton.5	water.Loneincube.Mast.1	water.Loneincube.Mast.2	water.Loneincube.Mast.3	water.Loneincube.Mast.4	water.Loneincube.Mast.5	water.Loneincube.Nereo.1	water.Loneincube.Nereo.2	water.Loneincube.Nereo.3	water.Loneincube.Nereo.4	Mast.Environmental.Brockton.1	Mast.Environmental.Brockton.2	Mast.Environmental.Brockton.3	Mast.Environmental.Brockton.4	Mast.Environmental.Brockton.5	Nereocystis.Environmental.StarfishInner.1	Nereocystis.Environmental.StarfishInner.2	Nereocystis.Environmental.StarfishInner.3	Nereocystis.Environmental.StarfishInner.4	Nereocystis.Environmental.StarfishOuter2.1	Nereocystis.Environmental.StarfishOuter3.2	Nereocystis.Environmental.StarfishOuter4.3	Nereocystis.Environmental.StarfishOuter5.4	Water.Environmental.StarfishInner.1	Water.Environmental.StarfishInner.2	Water.Environmental.StarfishInner.3	Water.Environmental.StarfishOuter.1	Water.Environmental.StarfishOuter.2	Water.Environmental.StarfishOuter.3	taxonomy
22715	1	2	0	62	180	98	13	52	3	558	10	1057	157	2	8	244	159	2	22	13	0	156	73	60	483	9	107	9	1	1	8	0	5	6793	6226	5	4249	1882	4576	5256	1244	4837	5290	1514	626	275	4560	3138	55	192	316	94	339	76	628	1564	238	1151	0	0	3	0	1	0	0	3	1	56	8	356	15	26	1663	5259	51	99	1309	1	0	0	0	0	82	2	0	0	0	0	0	0	3	0	46	0	3	0	Unassigned
18794	1	6	0	488	47	1008	197	51	2	1831	16	9	24	2	14	7	35	493	23	184	4	0	132	0	4	0	0	0	1	1	7	5	0	1	2	2	1	0	3813	33	106	1802	100	2	3713	0	32	110	9	5	1	161	3525	18	703	4	9	36	5860	2039	666	18373	93	619	3679	2782	182	26	8	0	0	0	3	0	0	0	33	2	2	0	3	0	1	0	1	2	224	56	12	75	3	0	36	0	30	0	Unassigned
22075	23	17	0	2	32	242	21	389	104	719	60	237	57	42	120	1978	1322	414	567	2854	116	191	4390	1306	4115	64	264	84	1	2	56	2	4	1	6	1	0	2	6	3	6	1	1	61	35	0	29	31	14	11	4	7	3	107	65	113	12	32	347	297	2677	49	200	271	217	604	40	91	1	8	0	0	7	11	7	2	6	1	0	4	1	0	46	2549	166	4425	7264	4130	1375	2556	0	1	64	3	9	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Chromatiales; __Granulosicoccaceae; __Granulosicoccus; __uncultured_proteobacterium
23299	0	25	0	7	1	0	0	1	1	0	0	0	10	0	15	1	14	0	19	0	0	0	5	2	3	3	2	0	5	0	3	0	1	997	5824	0	156	1259	393	3295	107	600	704	1701	57	45	178	680	79	3245	2124	3371	2283	201	724	1009	268	674	0	2	16	0	1	1	0	1	0	27	405	6965	555	166	1691	2887	2	2544	183	0	0	0	6	1	53	1	6	0	2	0	2	0	4	26	48	11	41	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Oceanospirillales; __Oceanospirillaceae; __Pseudohongiella; __uncultured_bacterium
22632	0	7	0	191	53	1135	616	4688	3	89	3	10	14	0	19	91	48	282	10	297	0	34	103	12	4	1	25	0	0	0	6	2	0	0	1	0	1	0	741	38	140	723	9830	58	970	0	8	192	1	8	67	30	1386	42	1423	88	220	25	130	768	469	83	96	715	413	274	6	11	13	0	0	0	4	55	0	2	39	4	0	4	1	0	6	41	10360	0	135	1744	360	23	1	0	14	0	5	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Verrucomicrobiaceae; __Persicirhabdus; __uncultured_Verrucomicrobia_bacterium
23222	9	20	0	561	146	536	4	1504	10	1017	431	136	1699	104	534	6244	527	172	863	13630	22	24	632	382	146	5	19	5	0	1	46	0	2	0	2	0	1	0	6	7	10	4	5	3	744	1	95	137	2	3	20	25	19	7	25	3	5	21	1435	1485	3736	375	14	36	9	24	1	44	0	5	0	0	19	21	1	1	1	0	1	0	0	1	1	0	6	5	2	1	0	0	1	0	3	0	23	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Sphingomonadales; __Erythrobacteraceae; __Erythrobacter
23163	23	0	0	12	1215	3012	4	12908	15	2732	80	222	3228	13	4	57	72	0	98	555	17	887	44	1127	511	478	165	94	3	1	92	24	8	3	57	0	2	1	33	19	131	16	189	28	1441	123	529	1323	9	6	44	72	48	37	172	452	593	71	204	31	5	59	78	6	6	4	20	15	1	3	1	0	61	156	2	3	29	3	2	1	0	7	2	16	16	1	0	5	0	0	0	1	4	0	43	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Nonlabens
23024	1	1	0	358	820	591	44	103	0	1871	132	296	238	2	227	625	732	155	35	1577	3988	208	1052	39	81	311	263	45	42	0	5	7	4	2	17	0	2	3	98	191	13	169	77	31	695	208	2529	1801	49	51	89	199	51	187	4759	3783	302	1667	76	14	12	181	0	4	4	10	5	12	0	3	0	0	898	172	226	111	63	1	1	0	1	0	6	0	0	2	2	0	0	3	0	0	3	0	3	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __Paraglaciecola; __uncultured_bacterium
19593	0	16	0	104	6	87	35	182	30	265	64	135	96	1	448	45	209	22	89	270	45	276	308	3	85	8	37	10	80	31	50	22	89	14825	1000	0	266	193	2051	109	226	637	1835	143	216	0	18	136	22	2013	385	196	945	571	180	140	48	33	46	1197	45	170	128	59	36	65	1	27	1	14	2	2	0	5	3	1	3	114	71	285	193	159	0	1	0	0	0	0	1	0	1	0	6	0	3	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Oceanospirillales; __Alcanivoracaceae; __Alcanivorax
16974	18	1	0	3	4	27	48	40	31	4463	11	162	110	26	50	1841	351	178	206	1116	39	65	623	926	273	215	203	6	1	4	31	40	5	0	1	0	1	0	1	1	5	0	1	15	39	0	13	8	1	5	5	6	12	14	24	32	2	3	231	221	94	74	677	1901	1832	2477	176	297	1	1	0	0	1	4	3	4	19	0	1	11	8	1	15	858	1024	433	1695	2289	457	112	0	1	52	1	23	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Chromatiales; __Granulosicoccaceae; __Granulosicoccus; __uncultured_proteobacterium
22790	0	2	0	39	700	400	17	109	8	53	7	17	276	0	3	5	52	0	28	109	0	9	19	5	17	1	39	3	4	11	29	23	68	1039	3914	0	236	210	4277	363	690	469	4448	718	2332	54	752	2214	4	127	103	159	464	22	717	62	18	35	0	3	2	0	1	0	0	2	1	18	5	12	0	0	34	3	0	0	137	0	8	58	8	1	0	7	543	0	3	1	0	6	1	1	10	0	19	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae
22445	1	1	0	877	72	321	9	40	1	3830	4023	776	100	0	35	328	137	3	3	1145	2409	1102	1696	114	19	373	4155	50	5	0	5	1	3	0	55	0	0	1	8	15	1	6	17	376	161	142	431	371	30	10	12	13	12	36	299	1361	71	393	0	18	3	3	0	5	1	4	1	3	0	3	0	0	35	108	124	144	66	1	1	0	0	0	5	1	0	0	6	5	4	3	0	0	3	0	2	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __Glaciecola
23020	36	1	0	0	0	4	123	0	0	17	1	0	205	0	0	0	32	0	7	65	0	1	0	1598	3435	35	146	36	52	1	22	4	2	1	2	0	0	0	3	19	9	0	54	259	812	0	61	989	22	4	3	33	7	64	951	198	14	40	13	651	155	14	24	4260	2214	4885	345	82	2	4	0	0	196	174	2	2	103	1	5	1	4	0	0	0	20	0	0	0	1	0	0	0	47	0	45	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Verrucomicrobiaceae; __Roseibacillus; __uncultured_bacterium
18192	0	5	0	3	0	0	0	0	0	0	1	1	8	0	4	0	4	0	17	1	0	0	0	0	1	0	1	0	0	1	1	1	1	915	3127	3	202	3297	845	836	185	743	714	317	360	3	484	480	53	1013	536	1119	1553	2	714	48	62	72	0	0	4	0	0	0	0	3	0	12	29	3960	179	90	21	12	0	3	401	0	0	0	2	0	0	0	4	0	0	0	0	0	2	1	14	4	0	0	Bacteria; __Proteobacteria; __Betaproteobacteria; __Methylophilales; __Methylophilaceae; __OM43_clade; __uncultured_marine_bacterium
22756	1	1	0	282	78	477	2	420	12	581	1005	642	176	0	8	111	157	2	622	836	7093	376	442	7	336	26	50	18	2	1	1	1	0	0	150	0	0	0	28	9	16	18	574	76	138	795	3276	176	20	8	71	18	4	264	524	979	240	441	4	27	2	19	4	8	3	4	3	4	0	0	0	0	98	19	170	7	76	0	0	0	0	0	1	0	0	0	25	2	1	2	0	0	1	0	1	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Colwelliaceae; __Colwellia; __unidentified
20114	42	0	0	5	1	19	10	1	2	154	19	84	382	0	2	1	42	1	26	334	4	65	1	1944	2522	1576	127	17	97	4	25	2	17	0	36	0	1	0	49	2	26	3	26	554	4261	88	2557	1745	13	5	7	110	8	135	1898	481	526	34	0	86	5	2	5	16	11	124	43	18	0	1	0	0	347	301	6	32	97	1	1	3	0	0	4	0	0	0	0	1	0	0	3	0	9	0	7	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Algibacter
17469	3	2	0	23	226	713	19	4	40	13	43	35	727	2	37	251	41	2	5102	4264	10	37	1331	131	18	469	56	1	48	82	187	141	127	0	3	1	0	0	3	1	10	5	2	5	162	6	67	160	0	7	13	9	9	41	20	14	22	5	2504	98	220	165	1989	153	238	379	7	46	0	5	0	0	2	5	0	6	9	19	17	14	7	5	0	6	8	2	37	44	11	14	0	0	7	0	8	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae
22821	54	1	0	24	483	854	9	193	42	79	156	126	247	4	20	91	55	3	3771	656	40	318	93	2775	1192	2325	1469	34	31	27	95	155	57	0	10	0	0	0	16	11	21	9	15	13	186	9	120	187	10	8	16	17	28	58	49	43	225	2	268	119	46	163	1867	42	47	32	40	31	0	9	0	3	20	35	2	11	7	13	7	24	1	4	2	9	12	8	11	10	2	2	0	0	0	0	7	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Sulfitobacter; __Sulfitobacter_mediterraneus_KCTC_32188
20076	0	1	0	0	1	0	0	0	0	0	0	0	10	0	23	1	3	0	6	1	0	0	0	0	0	0	1	0	4	1	3	0	0	0	4	0	0	0	0	1	0	2	0	0	0	0	0	4	2	151	931	976	7	0	5	8	1	64	0	0	35	1	1	0	0	3	1	13	526	13183	1839	483	0	9	0	7	0	0	0	0	0	0	0	1	8	0	1	1	0	2	21	2	9	0	18	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __NS3a_marine_group; __uncultured_Bacteroidetes_bacterium
22363	0	3	0	43	248	373	14	444	1	15	31	11	26	5	5	23	31	5	431	78	1203	245	24	13	22	4	34	2	3	1	0	6	4	2874	1256	0	458	745	2370	255	324	720	2122	122	53	95	165	87	11	206	169	47	1028	725	112	491	135	23	0	0	2	0	0	0	0	1	0	13	1	5	0	0	12	7	74	1	3	0	0	0	0	0	0	2	0	1	1	0	0	0	1	0	2	0	0	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Pseudophaeobacter
19211	0	1	0	23	15301	154	7	0	0	4	9	28	38	0	3	10	88	0	4	66	0	0	36	14	61	0	2	0	5	0	0	0	1	0	2	0	0	0	3	185	31	1	9	4	133	1	26	366	2	2	7	8	1	22	80	24	1	30	95	37	201	39	3	38	207	217	24	21	0	1	0	0	26	21	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Alphaproteobacteria_Incertae_Sedis; __uncultured; __uncultured
20774	8	0	0	7	4	47	1	10	8	10	2	3	88	1	0	6	6	0	8	57	1	0	11	226	52	3	8	1	23	1	6	1	0	1	3	0	0	0	312	28	136	5	95	55	358	9	138	1704	2	0	0	25	7	47	198	25	12	13	8	116	50	11	23	1096	118	32	7	238	6	1	0	0	33	84	4	2	4	0	0	1	1	0	9	135	10744	89	39	168	182	93	0	0	2	0	1	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Verrucomicrobiaceae; __Roseibacillus; __uncultured_bacterium
22464	2	0	1	32	0	16	0	20	2	5838	189	59	21	0	3	29	23	1	2	42	149	8076	222	8	76	359	278	7	0	0	2	0	0	0	3	0	0	1	0	0	0	0	1	25	218	6	26	26	3	1	2	5	5	4	22	192	941	57	0	0	2	1	0	0	0	2	0	0	0	0	0	0	1	5	8	51	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __Glaciecola
20934	2	1	0	32	22	20	7	22	0	188	4	647	40	2	2	97	57	0	7	3	0	68	32	17	412	3	55	5	3	0	5	0	1	580	2225	0	377	845	361	2380	35	1570	557	685	21	4	1444	420	8	33	34	9	35	22	88	525	10	184	0	0	0	0	0	0	0	0	2	11	1	47	0	0	234	1441	7	4	110	0	0	0	0	1	36	0	0	0	0	0	1	0	0	0	1	0	1	0	Unassigned
17112	0	2	0	4	14	74	187	28	0	2	1	0	4	0	0	2	3	0	0	10	0	0	0	1	0	0	0	0	1	0	12	8	2	1	0	0	0	0	2	0	22	1	3	4	92	0	24	44	0	1	0	0	6	0	8	0	3	10	59	637	202	29	52	1704	766	5053	12	11	0	0	0	0	0	4	0	0	47	1	0	1	0	0	0	25	6630	0	24	64	114	25	0	0	64	0	50	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
2855	0	1	0	6	8	28	3	5	1	210	1	136	27	0	0	33	16	1	14	12	0	15	16	5	41	0	7	2	0	0	0	0	0	470	1593	1	627	2711	304	407	553	1067	461	280	1001	40	1107	725	8	138	318	77	418	24	741	663	305	555	0	1	2	0	0	0	0	1	0	19	2	12	1	1	66	96	0	6	67	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	Bacteria; __Chlamydiae; __Chlamydiae; __Chlamydiales; __Simkaniaceae; __uncultured
17369	5	7	0	13	150	62	3	133	0	24	10	19	40	0	9	40	39	4	41	51	10	30	12	215	97	93	7	0	2	3	19	6	43	1377	806	0	212	1450	499	221	95	724	2034	788	429	48	427	246	19	850	367	437	1963	114	589	432	220	82	0	4	2	0	0	0	0	1	4	4	0	78	2	1	64	32	4	12	9	1	0	1	0	0	0	1	0	0	0	0	1	1	2	0	1	0	3	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Caulobacterales; __Hyphomonadaceae; __Hyphomonas
17828	0	0	0	5	0	1	0	7	10	70	0	29	6	0	9	0	17	0	6	10	1	12	13	11	0	0	0	0	0	0	12	0	1	822	2351	0	0	134	44	35	6	182	1839	3877	2263	24	2800	90	1	11	1	65	3	10	356	37	221	145	0	1	1	0	0	0	0	0	1	0	0	1	0	0	2	2	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Loktanella
22493	0	0	0	35	211	76	17	66	3	70	82	94	60	4	13	128	44	1	2777	34	58	125	30	13	75	1	16	2	1	1	4	2	2	233	1114	0	62	132	672	95	101	819	652	102	338	359	488	1187	6	158	492	91	274	311	1124	665	985	54	0	6	1	0	2	2	0	5	1	34	0	4	0	0	148	36	4	0	1	3	0	4	0	5	1	5	6	2	11	10	4	13	0	10	4	2	3	0	Bacteria; __Proteobacteria; __Gammaproteobacteria; __Alteromonadales; __Alteromonadaceae; __Alteromonas
23123	13	0	0	8	42	3201	2	809	9	36	20	141	388	12	48	78	40	1	531	554	18	39	43	470	2804	833	159	35	1	0	12	0	0	1	3	0	0	0	15	2	9	5	35	13	275	21	318	48	15	2	4	11	7	63	87	88	100	16	757	12	11	10	267	1	0	0	12	6	0	0	0	0	13	16	1	0	0	0	0	0	0	0	0	2	4	3	17	7	6	0	0	0	0	0	2	0	Bacteria; __Bacteroidetes; __Flavobacteriia; __Flavobacteriales; __Flavobacteriaceae; __Dokdonia
20638	0	8	0	21	1914	140	35	16	1	4	6	8	5	1	10	8	111	9	261	57	2	33	80	0	5	3	0	0	1	0	2	0	0	1	1	0	0	1	207	162	69	17	47	6	61	0	1	35	0	4	29	22	160	17	108	5	701	8	1140	335	799	728	2097	50	14	305	1	5	3	0	0	0	0	4	0	0	3	0	0	0	0	0	73	55	194	215	320	637	220	83	1	0	11	0	3	0	Bacteria; __Verrucomicrobia; __Verrucomicrobiae; __Verrucomicrobiales; __Rubritaleaceae; __Rubritalea; __uncultured_bacterium
20119	6	0	0	23	29	27	3	29	0	69	82	80	11	3	11	79	69	1	106	1891	545	867	137	316	502	2189	625	24	23	21	23	150	35	1	5	0	5	0	51	2	3	3	21	17	344	79	621	34	8	4	32	55	15	187	471	786	808	37	7	22	8	10	0	9	2	3	6	4	0	8	0	0	65	45	41	47	13	1	5	6	7	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	Bacteria; __Proteobacteria; __Alphaproteobacteria; __Rhodobacterales; __Rhodobacteraceae; __Roseobacter
